18,Awesome new app\, so far so good.,US,2014-07-15 04:36:00,5,Gottaloveit420!,Great... Love it,427932542,
19,Love recording sound bites of where I am and what I'm doing .,US,2014-07-14 21:52:00,5,M19876,Fun!,427932542,
431,My mom loves this app! I'll just open Wondermall one her iPad and she leaves me alone! Thanks to whoever made this app!,US,2014-12-15 06:57:00,5,Liyatheamazing,Why I love Wondermall,867479975,
433,This is the best app for all you shopaholics out there! All your most favorite shops in one app! Omg thank you for making this brilliant idea ,US,2014-12-10 03:42:00,5,via.garcia,Deserves to be known,867479975,
435,This app is under the radar for real\, how can an app so awesomely designed\, so special not be at the head of the App Store. This is incredibly unique I have never seen anything like it besides at a real mall and not even there can I say competition exists. Great job devs don't give up hope soon this app will be one of the heavy hitters in the App Store.,US,2014-11-12 01:16:00,5,Camie488,This is the best app by far,867479975,
437,This app would be my fav if you add...ASOSDeliasH&mTopshopFree peopleWet sealLove culture,US,2014-10-30 22:10:00,5,ebfo18,Love the app,867479975,
439,It offers the most of discounts on clothing and other items.  It feels like being at a nice Outlet!,US,2014-10-28 15:49:00,5,Dianajlo,the best mall app,867479975,
441,This is literally having a mall on your device... Such a great app. May not be completely original\, but it's my favorite app of the type :),US,2014-10-21 05:57:00,5,Mjrox101,coolest app,867479975,
443,Best App Ever❤️ I literally shop all day with this app! It is amazing!,US,2014-09-02 13:24:00,5,Video Taper Girl,Love this app!,867479975,
445,I can't get it to open...,US,2014-08-25 00:57:00,1,mikebo04,Problem opening,867479975,
447,How about Wet Seal\, Deb\, Hollister & Abercrombie? Maybe even Hot Topic and Zumiez?,US,2014-08-18 19:48:00,4,Onlyme13452,Needs More Stores,867479975,
449,This app is forgetting several popular stores\, such as: Pink Victoria Secret\, Hollister\, Aeropostale\, Aberombie\, etc. Please add them\, it'd make this app 5 stars!!,US,2014-08-13 03:34:00,4,SummeryGirl,Awesome....but,867479975,
451,It downloaded but it didn't work for me it didn't show up on my screen or anything,US,2014-07-23 18:41:00,1,Tina10126,J,867479975,
453,This app has everything I need! One stop shop. Love that I don't have to exit one website and go to another. The stores are all in the same place! Great idea.,US,2014-06-07 04:24:00,5,Fallen gladiator,Everything I need,867479975,
454,Doesn't work. Crashes when I en the app!,US,2014-05-27 23:27:00,1,Thisgalheather,Crashes on open,867479975,
456,I think I would enjoy it more if I worked at an office or had kids but overall it has many of my favorite stores and I love this app!!! Wish it had hollister and kohls ex.,US,2014-05-24 01:18:00,5,Rockinanna31,I love this app,867479975,
458,Awesome app! Thank you for thinking about all the small details and turning my online shopping into a great experience.,US,2014-05-05 20:36:00,5,jshalev,The new standard for online shopping!,867479975,
460,I love this app. What a fun shopping experience. It’s great browsing the various stores and the art style and design is amazing. This is the definitely my favorite shopping app.,US,2014-05-03 05:42:00,5,Ledniv,Amazing app,867479975,
750,Is there a tutorial and I just got the game?,US,2014-10-26 03:11:00,5,Midas terraria,Is there a tutorial?,738989375,
751,To many ads\, hard to control and plain up dumb you should be ashamed you made this app,US,2014-08-13 03:10:00,1,Queen of Blodgett,Horrible,738989375,
752,Me encanto,US,2014-08-03 06:50:00,5,Pizarraz,Good,738989375,
753,Hard putting this game down\,  I'm constantly trying to beat my own score!! >.< love feeling like money collecting gangster hahhah *two thumbs up*,US,2013-11-22 17:21:00,5,cliu9,LOVE!!,738989375,
754,Super addicting game! And I love the background music. Makes it more intense when I'm shooting bad guys and gaining money ;),US,2013-11-22 02:00:00,5,Itsvaleriee,Addicting,738989375,
755,Love this game! ,US,2013-11-21 22:38:00,5,Tomamatoe,So cool!!!,738989375,
953,I am an Rv sales rep and I survive in the down time by repeat customers and referrals. I have learned the importance of remembering people at a personal level and how well people respond to a person who takes the time to remember their name and important facts about them. This app does all that for me and more. One downside that I see is in order to maintain my customers I think I may have to spend $9.99 per month. I wish there was more of a tutorial on how to. I love the concept. Love the app only had it for a day so far and it has already helped tremendously. Thank you,US,2014-11-23 02:03:00,5,Ppmortensen,Wow what a great app,588871560,
954,The app won't open - even after the most recent upgrade....before that started happening\, it was fine....,US,2014-11-06 02:32:00,2,Tonythetiger123,Help,588871560,
955,This is a must have app.  The deal tracking feature sets it apart from the others. Awesome support!,US,2014-10-22 12:32:00,5,Stock Doctor,Best CRM,588871560,
956,Locks my screen\, locks my phone and contacts. . .,US,2014-10-17 21:20:00,1,The magic of you,ABSOLUTELY TERRIBLE,588871560,
957,The interface is user friendly upon first picking it up but other than just data entry\, like any CRM\, there is a learning curve with functionality.It's best used with an iPhone AND and iPad. The iPhone screen is too small to stare at all day and the iPad can't make phone calls. But\, if you have both devices\, it's a great app. The Bluetooth pairing may require some finagling at times (or patience) but overall it's pretty easy to use.Some requests:- app can store files per account (yay) but only integrates with iCloud. Would like to see integration with Microsoft's OneDrive in a future update.- email integration uses Apple API which has pros and cons. Would love to see a native email app that can track messages per account\, insert files directly and send to multiple recipients all from within the app.Thanks for reading!,US,2014-10-15 14:38:00,4,Daryle H.,Great CRM App- best used w/ iPhone AND an iPad,588871560,
958,I have been searching for a good mobile CRM for several years. I have tried just about every app out there\, including paid services like Salesforce. I found Salesmesh (previously Appmesh) a couple of years ago. At that time\, it was a good app\, but it was in its infancy and didn't do everything I needed. Nonetheless\, I kept it on my iphone and checked it when I noticed updates. Three months ago\, I was again frustrated with the CRM I was using (Salesforce) and decided to look at Salesmesh again. I was pleasantly surprised by the transformation of the app and decided to give it another try. I have not looked back since. Salesmesh is\, without question\, the best free CRM on iOS and it continues to get better. The only reason I cannot give it five stars is because\, at this time\, Salesmesh is only accessible on iOS. If you are without your iPhone/iPad\, there is no way to access your data. This will easily be a five star app when they enable web browser access. That being said\, I highly recommend this app to anyone in outside sales. You will not find a better way to track your customers\, deals\, and activity.,US,2014-10-04 15:27:00,4,paycheck44,The Best Free CRM - And Now Works with iOS 8!,588871560,
959,I've been using this app for a month or so and love it.   Very simple to use and pretty intuitive with a beautiful interface.   I've emailed customer service a couple times either with questions or to solve a deli a I had and always got responses back within an hour!   That is impressive- even for a smaller company.  Thanks for creating this app and helping me organize my sales records!!,US,2014-09-30 13:54:00,5,mtgroseth,Wonderful app and awesome customer service,588871560,
960,In the short time I've had iOS8 I haven't had issues. SalesMesh is much more intuitive than the CRM systems I've had to use for 20 years\, and the support is way better.  Does it integrate with the LinkedIn app?,US,2014-09-29 00:59:00,5,0630SGC,Love this app,588871560,
961,Love using SM but since ISO8 it crashes upon opening.,US,2014-09-23 04:20:00,1,Immonkey,ISO8 issues,588871560,
962,just updated ios8 and salesmesh om my iPad Air. Crashes when trying to open. Un-installed and re-installed with same results.,US,2014-09-19 22:58:00,1,slimjimspring,app crashes in ios8,588871560,
963,This app instantly flooded my inbox with spam and ruined my contacts. DO NOT DOWNLOAD. It looks great on the surface\, but having this happen is disgraceful.,US,2014-09-18 20:59:00,1,UserOfApplication,SPAM SPAM SPAM,588871560,
964,I like this app\, it help me very much.I have a suggestion: can you upgrade function: add search function when import contact from contact list.Thanks you!,US,2014-09-08 08:51:00,4,Alex.ITsolution,Upgrade search in import contact,588871560,
965,Every start up step was very slow. Never knew if it was working thinking or just broken.I finally gave up after trying and deleted the information and deleted the app,US,2014-09-07 00:55:00,2,tommyg007,Never got it to work,588871560,
966,Finally an easy-to-use mobile app for managing my deals that fully integrates with my contacts\, calendar\, phone and email. V2.0 is a huge step forward.,US,2014-09-05 04:21:00,5,ST 100,Awesome app!,588871560,
967,I've been looking for something like this and it looked perfect. Not only does it keep up with your CRM but also syncs with your calendar instantly. BUT...I'm so disappointed bc it crashes when I try to view or add detail in aCustomer agenda. Sad.,US,2014-08-30 23:24:00,1,Rain Man 123,Looked great but Crashes,588871560,
968,Best of the apps I've downloaded so far.  My only suggestion so far would be to have the calendar do a month view also.,US,2014-08-05 22:19:00,5,14fan,Good so far,588871560,
969,for I really\, really mind it when app developers do not state clearly that you have to take out a membership to use the app. Maybe I'm slow\, but I did not see this stated clearly in the description.,US,2014-07-10 04:29:00,2,Zarafa,Did not say clearly in description that must signup for account,588871560,
970,Constant crashes. Waste of time.,US,2014-06-14 01:15:00,1,bgeorge0,Constant crashes. Waste of time.,588871560,
972,My husband and I thought this was a great app for our renovations business. It was great to keep track of clients\, estimates\, employees and schedules. There were a few minor glitches like not being able to move back and forth between the calendar and contacts. There is a black line that appears periodically covering those buttons. But overall we were happy. However\, now I can't log into the app on my phone and input or see data. It just spins.  All other apps are working on my phone. If the bugs are fixed this could be a great app!,US,2014-05-23 12:22:00,3,kimtexashouse,Can't get the app to load anymore!,588871560,
973,Terrible to navigate.,US,2014-05-06 14:07:00,1,Dav83053,Type of App I was Looking For,588871560,
974,Please fix the access to address bug. Sales people need to map addresses or at least copy and paste into the map apps!!!,US,2014-05-01 15:16:00,3,2quantum,Can't access maps or copy address!,588871560,
975,From the interface\, this looks like the small business CRM I've been dreaming of. It seems to track deals\, people\, organizations\, tasks\, and follow up. Unfortunately\, it hung forever trying to let me import from my 3\,000-person contact list. Deleting\, reinstalling\, and retrying four or five times\, and I finally got it to load my address book and import a few contacts. Tonight I was simply trying to read the help file and work my way through the interface\, and just reading help caused to app to crash consistently. Summary: once it works\, it might be a pretty awesome app.,US,2014-04-17 02:12:00,2,Stever777,Great design\, extremely buggy,588871560,
976,Awesome app!,US,2014-04-15 20:09:00,5,Mulchguy,Salesmesh,588871560,
977,The ultimate sales tag team uses the ultimate secret weapon!,US,2014-04-15 08:36:00,5,Aksalesguysf,Franklin & Bash,588871560,
978,This app is great. As a property management company we like to keep track of what agents are showing\, and what has been rented. This app is great for that. We do not work out the same office\, we don't even always go in the office everyday\, so this is great to find out if something has been rented before we make the trip all the way over to the property.,US,2014-03-26 05:28:00,5,Ang31677,Love it!,588871560,
979,This is by far the most useful CRM I’ve found without having to be enrolled in Salesforce\, etc.  I would highly recommend it for anyone who’s looking for a simple yet thorough CRM to keep them up to date and greatly organized on opportunities\, emails\, conversations\, etc.  In addition\, the customer support is outstanding and willing to listen to your comments and suggestions to improve the product\, which I expect will become even more useful as they incorporate user input.  These guys (and gals) are definitely on the right track and have tapped into a CRM for the salesperson\, and not just management.  Well done\, Appmesh!,US,2014-03-11 23:26:00,5,bigfoot67,Best CRM I’ve Found,588871560,
980,Ugh! Discontinued SFDC integration. Worthless now.,US,2014-03-11 01:08:00,1,CConlee,No Salesforce Integration,588871560,
981,This app does everything I needed it to do. It ties together my contacts\, my activities by contact\, and ongoing opportunities. It is nicely presented\, and easy to use. Thank you. RLA,US,2014-03-06 05:14:00,5,randerson1973,Training Consultant,588871560,
982,This is a new product for me\, but I wanted to encourage people to give it a try. The linked integration\, and depth of detail on tracking a lead is spot on. I would like to integration with CARD MUNCH or native card scanning technology. This would be helpful with new prospects. Key take aways- Very easy to use and direction looks positive for a new app.,US,2014-02-03 20:13:00,4,DeFonseka,Strong Lead Generation tools,588871560,
